in s,C1 in V
-4.7616E-05,-2.930E-03
-4.7600E-05,-2.930E-03
-4.7584E-05,6.836E-03
-4.7568E-05,6.836E-03
-4.7552E-05,2.637E-02
-4.7536E-05,2.637E-02
-4.7520E-05,1.660E-02
-4.7504E-05,6.836E-03
-4.7488E-05,-2.930E-03
-4.7472E-05,-2.930E-03
-4.7456E-05,-2.246E-02
-4.7440E-05,2.637E-02
-4.7424E-05,-2.930E-03
-4.7408E-05,-2.930E-03
-4.7392E-05,2.637E-02
-4.7376E-05,1.660E-02
-4.7360E-05,2.637E-02
-4.7344E-05,-2.930E-03
-4.7328E-05,6.836E-03
-4.7312E-05,6.836E-03
-4.7296E-05,2.637E-02
-4.7280E-05,1.660E-02
-4.7264E-05,1.660E-02
-4.7248E-05,2.637E-02
-4.7232E-05,2.637E-02
-4.7216E-05,2.637E-02
-4.7200E-05,3.613E-02
-4.7184E-05,2.637E-02
-4.7168E-05,2.637E-02
-4.7152E-05,2.637E-02
-4.7136E-05,-2.930E-03
-4.7120E-05,4.590E-02
-4.7104E-05,-2.930E-03
-4.7088E-05,6.836E-03
-4.7072E-05,-2.930E-03
-4.7056E-05,1.660E-02
-4.7040E-05,1.660E-02
-4.7024E-05,-2.930E-03
-4.7008E-05,2.637E-02
-4.6992E-05,1.660E-02
-4.6976E-05,1.660E-02
-4.6960E-05,-2.930E-03
-4.6944E-05,-2.246E-02
-4.6928E-05,1.660E-02
-4.6912E-05,6.836E-03
-4.6896E-05,-2.930E-03
-4.6880E-05,2.637E-02
-4.6864E-05,2.637E-02
-4.6848E-05,6.836E-03
-4.6832E-05,2.637E-02
-4.6816E-05,-2.930E-03
-4.6800E-05,6.836E-03
-4.6784E-05,6.836E-03
-4.6768E-05,-2.930E-03
-4.6752E-05,-2.246E-02
-4.6736E-05,1.660E-02
-4.6720E-05,3.613E-02
-4.6704E-05,2.637E-02
-4.6688E-05,-2.930E-03
-4.6672E-05,2.637E-02
-4.6656E-05,3.613E-02
-4.6640E-05,2.637E-02
-4.6624E-05,1.660E-02
-4.6608E-05,1.660E-02
-4.6592E-05,-2.930E-03
-4.6576E-05,-2.930E-03
-4.6560E-05,5.566E-02
-4.6544E-05,-2.930E-03
-4.6528E-05,2.637E-02
-4.6512E-05,-2.930E-03
-4.6496E-05,2.637E-02
-4.6480E-05,6.836E-03
-4.6464E-05,1.660E-02
-4.6448E-05,2.637E-02
-4.6432E-05,6.836E-03
-4.6416E-05,2.637E-02
-4.6400E-05,6.836E-03
-4.6384E-05,6.836E-03
-4.6368E-05,2.637E-02
-4.6352E-05,2.637E-02
-4.6336E-05,3.613E-02
-4.6320E-05,1.660E-02
-4.6304E-05,2.637E-02
-4.6288E-05,2.637E-02
-4.6272E-05,2.637E-02
-4.6256E-05,6.836E-03
-4.6240E-05,6.836E-03
-4.6224E-05,1.660E-02
-4.6208E-05,1.660E-02
